imdb_id,score,explanation,name
tt32141377,2,"There are two or more women in this movie, but they only talk to each other about a man",28 Years Later: The Bone Temple
tt18259538,2,"There are two or more women in this movie, but they only talk to each other about a man",Avatar Aang: The Last Airbender
tt26657236,1,"There are two or more women in this movie, but they don't talk to each other",Backrooms
tt14181714,3,There are two or more women in this movie and they talk to each other about something other than a man,The Bluff
tt30851137,3,There are two or more women in this movie and they talk to each other about something other than a man,The Bride!
tt41200369,1,"There are two or more women in this movie, but they don't talk to each other",Chyorny dvor v kino
tt32430579,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Crime 101
tt33612209,3,There are two or more women in this movie and they talk to each other about something other than a man,The Devil Wears Prada 2
tt15047880,3,There are two or more women in this movie and they talk to each other about something other than a man,Disclosure Day
tt21285562,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",The Dog Stars
tt36590417,3,There are two or more women in this movie and they talk to each other about something other than a man,Don’t Say Good Luck
tt33071426,3,There are two or more women in this movie and they talk to each other about something other than a man,The Drama
tt31170389,3,There are two or more women in this movie and they talk to each other about something other than a man,Evil Dead Burn
tt14619456,3,There are two or more women in this movie and they talk to each other about something other than a man,Faces of Death
tt30691214,3,There are two or more women in this movie and they talk to each other about something other than a man,Forbidden Fruits
tt27613895,3,There are two or more women in this movie and they talk to each other about something other than a man,GOAT
tt35672862,0,Fewer than two women in this movie,Hokum
tt12311634,3,There are two or more women in this movie and they talk to each other about something other than a man,Home Delivery
tt26443616,3,There are two or more women in this movie and they talk to each other about something other than a man,Hoppers
tt30827810,3,There are two or more women in this movie and they talk to each other about something other than a man,I Love Boosters
tt32332915,3,There are two or more women in this movie and they talk to each other about something other than a man,I Want Your Sex
tt6341826,3,There are two or more women in this movie and they talk to each other about something other than a man,In the Blink of an Eye
tt14173636,3,There are two or more women in this movie and they talk to each other about something other than a man,The Invite
tt27564844,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Iron Lung
tt40915506,3,There are two or more women in this movie and they talk to each other about something other than a man,It's OK
tt36955518,1,"There are two or more women in this movie, but they don't talk to each other",Jim Queen
tt36935050,3,There are two or more women in this movie and they talk to each other about something other than a man,Kissing is the Easy Part
tt34611082,2,"There are two or more women in this movie, but they only talk to each other about a man",Ladies First
tt32612507,3,There are two or more women in this movie and they talk to each other about something other than a man,Lee Cronin's The Mummy
tt39143902,1,"There are two or more women in this movie, but they don't talk to each other",Levitcus
